ticker,name,market,is_kospi200
009310,참엔지니어링,KOSPI,No
264900,크라운제과,KOSPI,No
299030,하나기술,KOSDAQ,No
087260,모바일어플라이언스,KOSDAQ,No
001940,KISCO홀딩스,KOSPI,No
900110,이스트아시아홀딩스,KOSDAQ,No
126730,코칩,KOSDAQ,No
037950,엘컴텍,KOSDAQ,No
002170,삼양통상,KOSPI,No
131760,파인텍,KOSDAQ,No
006060,화승인더,KOSPI,No
474650,링크솔루션,KOSDAQ,No
079190,케스피온,KOSDAQ,No
035080,그래디언트,KOSDAQ,No
069960,현대백화점,KOSPI,Yes
043910,자연과환경,KOSDAQ,No
230980,비유테크놀러지,KOSDAQ,No
096240,크레버스,KOSDAQ,No
092790,넥스틸,KOSPI,No
075580,세진중공업,KOSPI,No
056090,시지메드텍,KOSDAQ,No
03473K,SK우,KOSPI,No
045300,성우테크론,KOSDAQ,No
008770,호텔신라,KOSPI,Yes
142760,모아라이프플러스,KOSDAQ,No
004255,NPC우,KOSPI,No
191410,육일씨엔에쓰,KOSDAQ,No
439580,블루엠텍,KOSDAQ,No
068100,케이웨더,KOSDAQ,No
122310,제노레이,KOSDAQ,No
194480,데브시스터즈,KOSDAQ,No
36328K,티와이홀딩스우,KOSPI,No
003800,에이스침대,KOSDAQ,No
002030,아세아,KOSPI,No
028080,휴맥스홀딩스,KOSDAQ,No
263700,케어랩스,KOSDAQ,No
018290,브이티,KOSDAQ,No
005810,풍산홀딩스,KOSPI,No
069540,빛과전자,KOSDAQ,No
036480,대성미생물,KOSDAQ,No
014620,성광벤드,KOSDAQ,No
238120,얼라인드,KOSDAQ,No
016380,KG스틸,KOSPI,No
399720,가온칩스,KOSDAQ,No
049630,재영솔루텍,KOSDAQ,No
060230,소니드,KOSDAQ,No
053980,오상자이엘,KOSDAQ,No
045660,에이텍,KOSDAQ,No
452430,사피엔반도체,KOSDAQ,No
110990,디아이티,KOSDAQ,No
001390,KG케미칼,KOSPI,No
067570,엔브이에이치코리아,KOSDAQ,No
010955,S-Oil우,KOSPI,No
264850,이랜시스,KOSDAQ,No
464280,티디에스팜,KOSDAQ,No
060150,인선이엔티,KOSDAQ,No
464080,에스오에스랩,KOSDAQ,No
226330,신테카바이오,KOSDAQ,No
037440,희림,KOSDAQ,No
041510,에스엠,KOSDAQ,No
037350,성도이엔지,KOSDAQ,No
299660,셀리드,KOSDAQ,No
